Datetime,Load.0
2022-04-12 21:48:26,1331.0
2022-04-12 22:48:26,1228.0
2022-04-12 23:48:26,1244.0
2022-04-13 00:48:26,1172.0
2022-04-13 01:48:26,1126.0
2022-04-13 02:48:26,1299.0
2022-04-13 03:48:26,1499.0
2022-04-13 04:48:26,1900.0
2022-04-13 05:48:26,1653.0
2022-04-13 06:48:26,1527.0
2022-04-13 07:48:26,1437.0
2022-04-13 08:48:26,1490.0
2022-04-13 09:48:26,1045.0
2022-04-13 10:48:26,1055.0
2022-04-13 11:48:26,866.0
2022-04-13 12:48:26,823.0
2022-04-13 13:48:26,720.0
2022-04-13 14:48:26,709.0
2022-04-13 15:48:26,663.0
2022-04-13 16:48:26,743.0
2022-04-13 17:48:26,953.0
2022-04-13 18:48:26,1277.0
2022-04-13 19:48:26,1190.0
2022-04-13 20:48:26,1547.0
2022-04-13 21:48:26,1344.0
2022-04-13 22:48:26,1301.0
2022-04-13 23:48:26,1456.0
2022-04-14 00:48:26,1504.0
2022-04-14 01:48:26,1439.0
2022-04-14 02:48:26,1509.0
2022-04-14 03:48:26,1824.0
2022-04-14 04:48:26,2359.0
2022-04-14 05:48:26,1985.0
2022-04-14 06:48:26,1877.0
2022-04-14 07:48:26,1638.0
2022-04-14 08:48:26,1880.0
2022-04-14 09:48:26,1301.0
